Type;ESRP-3;
Version;3.46 SP1;
Date;29.Jun 21;
Mode;ANALYZER;
Center Freq;173205080.756888;Hz
Freq Offset;0.000000;Hz
Span;970000000.000000;Hz
x-Axis;LOG;
Start;30000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;120.000000;dBµV
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;9000.000000;Hz
VBW;100000.000000;Hz
SWT;27.700000;s
Trace Mode;AVERAGE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBµV;
Preamplifier;OFF;
Transducer;OFF;
32964661.536480121;18.751335144042969;-1.0312881469726562
32979113.76537773;21.434638977050781;-4.9197006225585938
32993572.33036102;21.582534790039063;0.35237884521484375
33008037.234207831;20.689857482910156;2.4548721313476562
33022508.479697235;21.421798706054687;2.107818603515625
33036986.069609497;19.911109924316406;1.2264633178710937
33051470.006726116;20.549819946289063;-0.35546875
33065960.293829802;22.457855224609375;1.2948532104492187
33080456.933704495;22.041938781738281;-2.537811279296875
33094959.929135345;22.246299743652344;0.917938232421875
33109469.282908738;22.133384704589844;2.1075210571289062
33123984.997812264;21.896148681640625;1.4120941162109375
33138507.07663475;22.977737426757812;0.356201171875
33153035.522166226;21.196769714355469;0.21085357666015625
33167570.337197967;21.037979125976563;6.9287109375
33182111.524522465;20.862442016601563;-0.4446258544921875
33196659.086933423;21.488113403320313;9.479583740234375
33211213.0272258;21.44085693359375;2.10626220703125
33225773.348195732;21.110450744628906;4.8100509643554687
33240340.052640636;19.379463195800781;3.5447616577148437
33254913.14335911;20.930244445800781;1.8301925659179687
33269492.623151004;21.199943542480469;-1.3158187866210937
33284078.494817391;20.682792663574219;0.66854095458984375
33298670.761160564;20.729782104492187;-3.5314178466796875
33313269.424984053;20.111854553222656;1.4444656372070313
33327874.489092618;21.493392944335937;5.3923263549804687
33342485.956292238;22.620964050292969;2.0377578735351562
33357103.829390142;21.208549499511719;0.9133758544921875
33371728.111194763;22.245864868164062;-2.0535430908203125
33386358.804515786;22.145401000976563;6.5409469604492188
33400995.912164122;20.918281555175781;0.65605926513671875
33415639.436951913;21.469619750976562;-1.5010528564453125
33430289.381692532;21.052772521972656;2.3856430053710937
33444945.749200586;21.617233276367188;-3.6869888305664062
33459608.542291924;19.939323425292969;-2.5008010864257813
33474277.763783619;22.446952819824219;3.854705810546875
33488953.41649399;20.404403686523438;1.858184814453125
33503635.503242571;21.494705200195313;2.9690780639648438
33518324.026850164;21.714767456054687;2.2115936279296875
33533018.990138773;20.887298583984375;2.9027175903320313
33547720.395931665;21.603240966796875;-0.17807769775390625
33562428.24705334;20.213294982910156;-7.20892333984375
33577142.546329521;21.9222412109375;-1.3245468139648437
33591863.296587184;22.565101623535156;4.554229736328125
33606590.500654548;23.066963195800781;1.8707351684570312
33621324.161361061;21.67578125;-2.837921142578125
33636064.281537414;22.040023803710938;0.94622039794921875
33650810.864015542;23.058731079101563;3.1053314208984375
33665563.911628619;21.614387512207031;1.0258941650390625
33680323.427211069;20.459495544433594;1.9734344482421875
33695089.413598545;20.975959777832031;2.5141448974609375
33709861.873627953;21.479301452636719;2.6858444213867187
33724640.810137428;21.64556884765625;1.9513320922851563
33739426.225966386;21.534011840820313;2.0214462280273438
33754218.123955444;21.047454833984375;1.9807281494140625
33769016.506946497;21.315383911132813;4.7287139892578125
33783821.37778265;21.170417785644531;-3.343353271484375
33798632.739308305;21.915611267089844;4.261016845703125
33813450.594369061;20.662628173828125;3.4366302490234375
33828274.945811793;20.575576782226562;4.1855010986328125
33843105.796484627;20.264488220214844;1.0701065063476562
33857943.149236917;21.288124084472656;1.2227096557617187
33872787.00691928;18.714225769042969;-0.71668243408203125
33887637.37238358;21.750892639160156;0.498992919921875
33902494.248482943;21.683502197265625;-1.1671066284179687
33917357.638071716;20.983367919921875;0.75605010986328125
33932227.544005521;20.059371948242187;-4.8757553100585938
33947103.969141237;22.002723693847656;-1.1005935668945313
33961986.916336969;20.576362609863281;3.025787353515625
33976876.388452113;22.668594360351563;5.54901123046875
33991772.388347276;22.206764221191406;6.5940780639648437
34006674.918884344;21.810501098632813;1.051849365234375
34021583.982926458;21.782432556152344;1.4312286376953125
34036499.583338022;20.488502502441406;-1.3135223388671875
34051421.722984664;22.056838989257813;2.4947128295898437
34066350.404733285;21.427787780761719;2.9412078857421875
34081285.631452069;21.180580139160156;-2.7648239135742187
34096227.406010419;20.417892456054688;0.70885467529296875
34111175.731279016;20.143829345703125;2.7961959838867187
34126130.610129781;21.846244812011719;3.6869125366210937
34141092.045435935;21.32086181640625;2.754791259765625
34156060.040071912;21.841300964355469;-8.2362823486328125
34171034.596913427;21.545730590820313;5.0809783935546875
34186015.718837462;22.685997009277344;6.37445068359375
34201003.408722252;20.703208923339844;-1.741973876953125
34215997.669447288;21.909194946289063;1.871124267578125
34230998.503893338;20.449043273925781;-1.5552749633789063
34246005.914942414;21.786491394042969;3.0089263916015625
34261019.905477814;21.285354614257813;5.120269775390625
34276040.478384092;20.745033264160156;5.6151580810546875
34291067.636547051;21.530990600585937;-3.1790618896484375
34306101.382853776;21.579742431640625;-5.95477294921875
34321141.720192619;21.854843139648438;4.92694091796875
34336188.65145319;20.715263366699219;-2.3423919677734375
34351242.179526359;21.051002502441406;1.749969482421875
34366302.307304285;20.878738403320313;-0.996826171875
34381369.037680387;20.701148986816406;-2.880950927734375
34396442.373549335;21.507591247558594;-0.470855712890625
34411522.317807086;21.89642333984375;-0.93007659912109375
34426608.873350866;21.70513916015625;-0.888214111328125
34441702.04307916;21.930442810058594;-1.4660797119140625
34456801.829891741;21.324371337890625;3.677093505859375
34471908.236689627;19.920654296875;3.8536529541015625
34487021.266375154;19.141044616699219;-0.004241943359375
34502140.921851866;21.319854736328125;-1.087371826171875
34517267.206024632;21.098838806152344;2.2004318237304687
34532400.121799588;21.416244506835938;-2.5446014404296875
34547539.672084115;20.788368225097656;-1.6420669555664063
34562685.85978689;21.6939697265625;3.937408447265625
34577838.687817864;20.821395874023438;1.46600341796875
34592998.159088261;20.220077514648438;3.5872726440429687
34608164.276510596;23.17138671875;2.3918914794921875
34623337.042998619;21.614700317382812;1.8941192626953125
34638516.461467415;21.019416809082031;-3.7336502075195312
34653702.534833305;21.403739929199219;3.5676116943359375
34668895.266013891;21.958984375;4.07958984375
34684094.657928072;21.894691467285156;3.8203048706054687
34699300.713496029;20.627426147460938;0.9781341552734375
34714513.435639203;20.722923278808594;-2.0417861938476562
34729732.827280328;21.157005310058594;2.014251708984375
34744958.891343415;21.230804443359375;-3.5307159423828125
34760191.63075377;21.110977172851563;-2.5563583374023437
34775431.048437953;20.485427856445313;2.4910659790039062
34790677.147323832;21.226837158203125;2.0762176513671875
34805929.930340566;20.899261474609375;2.8342361450195312
34821189.400418557;21.066177368164063;3.1054229736328125
34836455.560489535;21.937973022460937;0.48923492431640625
34851728.413486511;22.363555908203125;1.4061126708984375
34867007.962343745;20.490791320800781;-0.553497314453125
34882294.209996812;21.598320007324219;-4.4596481323242188
34897587.159382582;19.93389892578125;-2.1169815063476562
34912886.813439198;21.542976379394531;0.718994140625
34928193.175106086;22.240730285644531;4.6078338623046875
34943506.247323968;21.065093994140625;0.16440582275390625
34958826.033034876;21.303855895996094;2.0147552490234375
34974152.535182081;20.548316955566406;1.3394927978515625
34989485.756710202;21.989112854003906;-7.4425201416015625
35004825.7005651;22.131706237792969;0.00601959228515625
35020172.369693957;22.1876220703125;2.1941604614257813
35035525.767045245;20.660629272460938;2.2313766479492187
35050885.895568728;20.686408996582031;-1.6775970458984375
35066252.758215442;19.978202819824219;-6.0896377563476563
35081626.357937746;20.423126220703125;4.515106201171875
35097006.697689265;21.05035400390625;4.5279693603515625
35112393.780424953;21.330101013183594;2.292694091796875
35127787.609101035;21.266403198242188;0.86029052734375
35143188.186675027;21.381935119628906;0.19966888427734375
35158595.516105771;21.795516967773438;1.0458297729492187
35174009.600353375;21.201812744140625;0.1124725341796875
35189430.442379259;22.269340515136719;2.4243545532226562
35204858.045146145;21.871078491210938;-1.0671615600585937
35220292.411618039;21.624702453613281;0.3651885986328125
35235733.544760264;19.970001220703125;-7.197021484375
35251181.447539441;20.106727600097656;0.69469451904296875
35266636.122923471;21.924774169921875;1.8632736206054687
35282097.573881581;20.462226867675781;2.0207443237304687
35297565.803384289;21.255661010742187;-2.0304794311523437
35313040.814403415;22.022056579589844;1.163848876953125
35328522.609912075;21.544319152832031;4.6730499267578125
35344011.192884713;20.329940795898438;1.7287750244140625
35359506.566297054;21.083305358886719;-5.2965164184570313
35375008.733126126;21.012535095214844;0.29689788818359375
35390517.696350276;22.541404724121094;1.9478683471679687
35406033.458949149;20.214828491210937;0.131103515625
